NAME,TYPE,LOCATION,
"CPU Usage Percentage - three-tier","Metric alert rule","Global"
"defaultazuremonitorworkspace-cin","Azure Monitor workspace","Central India"
"KubernetesRecordingRulesRuleGroup-three-tier","Prometheus rule group","Central India"
"Memory Working Set Percentage - three-tier","Metric alert rule","Global"
"MSProm-centralindia-three-tier","Data collection endpoint","Central India"
"MSProm-centralindia-three-tier","Data collection rule","Central India"
"NodeAndKubernetesRecordingRulesRuleGroup-Win-three-tier","Prometheus rule group","Central India"
"NodeRecordingRulesRuleGroup-three-tier","Prometheus rule group","Central India"
"NodeRecordingRulesRuleGroup-Win-three-tier","Prometheus rule group","Central India"
"RecommendedAlertRules-AG-1","Action group","Global"
"three-tier","Kubernetes service","Central India"
"UXRecordingRulesRuleGroup - three-tier","Prometheus rule group","Central India"
"UXRecordingRulesRuleGroup-Win - three-tier","Prometheus rule group","Central India"
